"type","geometry__type","geometry__coordinates__001","geometry__coordinates__002","properties__name__001","properties__name__002","properties__address__street","properties__address__zipcode","properties__address__city","properties__owner__001","properties__owner__002","properties__photo_taken","properties__source"
"Feature","Point","4.669602","52.388166","Iron Mountain AMS-1","","J.W. Lucasweg 35","2031 BE","Haarlem","Iron Mountain","","False","datacentermap.com"
"Feature","Point","4.669602","52.388166","KPN Datacenter Oude Meer","","Fokkerweg 300","1438 AN","Oude Meer","Koninklijke KPN N.V","","False","datacentermap.com"
"Feature","Point","4.665399","52.391185","KPN Datacenter Rotterdam","","Anthony Fokkerweg 40","3088 GG","Rotterdam","Koninklijke KPN N.V","","False","datacentermap.com"
"Feature","Point","4.449031","51.875343","Alticom Datacenter Rotterdam","","Anthony Fokkerweg 40","3088 GG","Rotterdam","Alticom","Cellnex Telecom","False","datacentermap.com"
"Feature","Point","4.449031","51.875343","SmartDC :  Dataport of Rotterdam","","Van Nelleweg 1","3044 BC","Rotterdam","SmartDC","","False","datacentermap.com"
"Feature","Point","4.43342","51.92324","Bytesnet Rotterdam","","Schuttevaerweg 48","3044 BB","Rotterdam","Bytesnet","","False","datacentermap.com"
"Feature","Point","4.414046","51.930144","Databarn Rivium B.V.","","Rivium Boulevard 62","2909 LK","Rotterdam","Databarn","","False","datacentermap.com"
"Feature","Point","4.546727","51.910353","Easynet DC Rotterdam","","Westzeedijk 487","3024 EL","Rotterdam","Easynet","","False","datacentermap.com"
"Feature","Point","4.457454","51.904835","Intermax - DC Schiecentrale","","Weena Zuid 108","3012 NC","Rotterdam","Intermax","","False","datacentermap.com"
"Feature","Point","4.474568","51.922887","Intermax - DC Schouwburgplein","","Schouwburgplein 30-34","3012 CL","Rotterdam","Intermax","","False","datacentermap.com"
"Feature","Point","4.474623","51.92025","Verizon 3","","Koperstraat 6","3067 GL","Rotterdam","Verizon","","False","datacentermap.com"
"Feature","Point","4.55103","51.949852","i3D.net Datacenter","","Rivium 1e Straat 1","2909 LE","Capelle aan den IJssel","i3D.net","","False","datacentermap.com"
"Feature","Point","4.539411","51.912672","InterBox Internet","","Venkelbaan 58","2908 KE","Capelle aan den IJssel","InterBox Internet","","False","datacentermap.com"
"Feature","Point","4.584266","51.962906","The Datacenter Group","","Heertjeslaan 1","2629 JG","Delft","The Datacenter Group","","False","datacentermap.com"
"Feature","Point","4.377386","51.987067","Intersquare","","1e Lambertusstraat 26","5921 JS","Venlo","Intersquare","","False","datacentermap.com"
"Feature","Point","6.155852","51.369424","Systemec Datacenter DC19","","Marinus Dammeweg 19","5928 PW","Venlo","Systemec","","False","datacentermap.com"
"Feature","Point","6.158818","51.378376","Systemec Datacenter DC25","","Marinus Dammeweg 25","5928 PW","Venlo","Systemec","","False","datacentermap.com"
"Feature","Point","6.159216","51.378373","Interconnect 's-Hertogenbosch","","De Steenbok 1","5215 MG","'s-Hertogenbosch","Interconnect","","False","datacentermap.com"
"Feature","Point","5.358767","51.686561","Greenhouse Datacenter","","Industriestraat 24","2671 CT","Naaldwijk","Greenhouse Datacenters B.V.","","False","datacentermap.com"
"Feature","Point","4.210829","52.001194","ECO2DC","","","","Steenwijk","ECO2DC","","False","datacentermap.com"
"Feature","Point","4.305055","51.587535","Nedzone","","Drukkerij 6","4651 SL","Steenbergen","Nedzone","","False","datacentermap.com"
"Feature","Point","6.524801","53.247481","Bytesnet Datacenter d'Root","","De Bunders 1","9747 AB","Groningen","Bytesnet","","False","datacentermap.com"
"Feature","Point","6.52852","53.246048","TCN Data Hotel Groningen","","Zernikelaan 16","9747 AA","Groningen","Bytesnet","","False","datacentermap.com"
"Feature","Point","6.473715","53.207462","KPN Datacenter Groningen","","Liverpoolweg 10","9744 TW","Groningen","Koninklijke KPN N.V","","False","datacentermap.com"
"Feature","Point","6.585869","53.209328","Bardeen Datahotel","","Winschoterdiep 50","9723 AB","Groningen","Bardeen","","False","datacentermap.com"
"Feature","Point","6.536007","53.238051","Rekenhal","","Nettelbosje 1","9747 AJ","Groningen","Rekencentrum Rijksuniversiteit Groningen","","False","datacentermap.com"
"Feature","Point","6.536007","53.238051","Zernikeborg","","Nettelbosje 1","9747 AJ","Groningen","Rekencentrum Rijksuniversiteit Groningen","","False","datacentermap.com"
"Feature","Point","6.858136","53.437458","Data Hotel Eemshaven","","Huibertgatweg 2","9979 XZ","Eemshaven","TCN","","False","datacentermap.com"
"Feature","Point","6.85871","53.4243","Google Datacenter","","Oostpolder 4","9979 XT","Eemshaven","Google","","False","datacentermap.com"
"Feature","Point","6.864552","53.165015","Datacenter Groningen B.V.","","Beneluxweg 4","9636 HV","Zuidbroek","Datacenter Groningen B.V.","","False","datacentermap.com"
"Feature","Point","4.7022","52.689822","Essent Kabelcom","","","","Aagtdorp","Essent","","False","datacentermap.com"
"Feature","Point","5.169098","52.034989","ITDev Solutions","","Het rond 30","3995DJ","Houten","ITDev Solutions","","False","datacentermap.com"
"Feature","Point","6.579846","52.989181","Morphlix","","Brunelstraat 4","9404 KD","Assen","Morphlix","","False","datacentermap.com"
"Feature","Point","5.049367","51.56316","NBrIX","","Professor Verbernelaan 35","5037 AD","Tilburg","NBrIX","","False","datacentermap.com"
"Feature","Point","4.81607","51.823334","Nedcomp","","Ambachtstraat 1c-d 3371XA","Hardinxve ld","Giessendam","Nedcomp","","False","datacentermap.com"
